"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"rank"
"PRSS23"	1.07509912269842	6.33105812761899	369.418314997102	1.69361247286675e-13	2.84802599797663e-11	-12.7711859565491
"UGDH"	0.785829281584853	7.35625543291034	328.20730021253	1.75617374899326e-13	2.91928560436098e-11	-12.7554325188991
"SELENBP1"	0.81628110493095	7.06035345311118	363.579356388281	2.06954675229729e-13	3.40111194678674e-11	-12.6841247581806
"PON1"	1.59708663938141	5.32013181464164	669.810149539831	2.34259441712921e-13	3.80658432140703e-11	-12.6303028960595
"SCIN"	1.36808188503211	5.69135358110128	587.955497158319	2.59532111833275e-13	4.07839637630605e-11	-12.5858088993601
"MYO6"	0.754936279265267	7.54531534935766	314.212288298443	2.6030616223703e-13	4.07839637630605e-11	-12.5845155507004
"SPOCK1"	1.48589195246985	5.78510565760132	314.00230171102	2.61880652262355e-13	4.07839637630605e-11	-12.5818965860577
"RBM47"	0.790336816583678	7.3301315729151	313.797069571801	2.634296662011e-13	4.07839637630605e-11	-12.5793353184329
"TOMM70"	0.617020047473552	7.95303933760713	313.578917228832	2.6508730422678e-13	4.07839637630605e-11	-12.5766110713476
"PRLR"	1.10661595385105	6.24700659669468	311.706047726165	2.79802108875907e-13	4.25947168269828e-11	-12.5531490165428
"GLUL"	0.614374688544833	8.22999867316027	298.191695693253	4.17067926455432e-13	6.21818180659635e-11	-12.3797932071789
"PBLD"	0.850739808324354	7.04578359674698	296.890749130858	4.33794392345136e-13	6.37593069602776e-11	-12.3627160664051
"SPOCK2"	1.05872298551549	6.32253093495557	454.020419288385	4.36466006711899e-13	6.37593069602776e-11	-12.3600495748045
"SNHG3"	0.566195489672967	8.63707391586847	284.924552428104	6.27700979606229e-13	8.9879322446191e-11	-12.2022471935777
"SPOUT1"	0.623096721381991	7.71986473659115	267.465623545658	1.10567501790011e-12	1.56767373616387e-10	-11.9563725029341
"GSR"	0.604258656727031	8.93403744972396	261.144360102263	1.36891131299106e-12	1.92205780664823e-10	-11.8636246873855
"AKR1C3"	1.25276740868857	5.81856053907692	421.949150569574	1.55095518724035e-12	2.13618227789238e-10	-11.8094007503588
"FOLH1"	0.612999526378922	7.92632736654476	255.11427197932	1.68588931810988e-12	2.30012559608538e-10	-11.773170941047
"THBS1"	1.38969204231328	5.55147842904583	624.138870723435	1.76536489308086e-12	2.36395435960513e-10	-11.7531655142576
"HIF1A"	0.528027324339888	8.42037719454344	252.076061969585	1.87569730468815e-12	2.48865453398166e-10	-11.7268372456533
"BZW2"	0.760854391131165	7.20787551968277	251.155916229784	1.93775172229973e-12	2.52084525112799e-10	-11.7127018684321
"AKAP9"	0.768316053285288	9.87051650083197	250.945597634014	1.95225188857928e-12	2.52084525112799e-10	-11.7094641483689
"KLK3"	3.59314231128737	3.6857369862692	810.435685008376	1.99356316852792e-12	2.52915095241471e-10	-11.7003699986229
"COLEC12"	0.965306892733108	6.47254733320216	478.871696015026	2.49832867790397e-12	3.14181124694323e-10	-11.6023504268065
"SLC45A3"	1.76887294185132	4.94660370372451	578.793126727133	3.20099668773963e-12	3.99075983604229e-10	-11.4947147752458
"EDN2"	2.46947254236615	4.2503174025552	722.924361275523	3.52092285191753e-12	4.35210139183173e-10	-11.4533434907928
"KRT8"	0.609447206315242	7.70698466676839	255.820754226359	3.95212073703406e-12	4.84369238127005e-10	-11.4031697962133
"IDH1"	0.617420645022748	9.50403970673361	231.149678915875	4.04763027122559e-12	4.91906125903063e-10	-11.39279916477
"TPD52"	0.652470463185616	7.51097664204229	277.44893910771	4.36186185751228e-12	5.2284133352795e-10	-11.360328092877
"EPHA3"	0.695628853243963	7.34945919745395	229.129126040506	4.37448495069022e-12	5.2284133352795e-10	-11.359073073211
"AMER3"	1.58521116346503	5.16187185577207	661.666149717797	6.36955249366664e-12	7.42874743253282e-10	-11.1958910788669
"RDH11"	0.477989295746295	8.47113456533459	217.309148923699	6.98102013940053e-12	8.01265978222306e-10	-11.1560811091046
"UNC13B"	0.606058948887289	9.3201090469841	216.024748820534	7.35509034190678e-12	8.31010285348874e-10	-11.133411988504
"AHNAK"	0.738627881590837	8.4000066427579	214.742685935459	7.75068844233453e-12	8.68918265527457e-10	-11.1106597202772
"TSC22D3"	1.43586046162683	5.38693376026823	550.665697869987	7.94090193261591e-12	8.8339479807301e-10	-11.1001301673321
"WDR3"	0.839006073470174	6.77575989018939	254.003977982727	9.04593460657398e-12	9.91078077880855e-10	-11.0435465561111
"LONP2"	0.522674940946226	8.33538027607161	210.537703083313	9.22261145321005e-12	1.00283764538589e-09	-11.0351460877171
"MPC2"	0.54268862398318	8.42104246055365	210.324117371329	9.30521681072343e-12	1.00426899639315e-09	-11.0312735033926
"GCNT1"	1.12503322373908	5.95497360835282	430.811834603775	1.765912498857e-11	1.87784018812278e-09	-10.7530308195608
"PYCR1"	0.815788951274607	6.80837979015633	238.988138419349	1.86005971067289e-11	1.96351704640521e-09	-10.7304731140619
"CLIC1"	0.502247038518541	8.92864601490786	192.783523036088	1.99431392576463e-11	2.0749473377272e-09	-10.7002064781726
"SLC39A6"	0.476018015612472	8.57374988014027	190.381808252755	2.22462080950703e-11	2.29803329622076e-09	-10.6527440046259
"CADM2"	1.45964004180062	5.28058713034824	585.85283346018	2.45257460778451e-11	2.5155414168638e-09	-10.6103777724266
"LRRC8A"	0.528112855567518	9.42162576418764	186.355438844777	2.67957284276702e-11	2.70992884280396e-09	-10.5719344323947
"CD164"	0.461715131736076	8.37105208639656	196.187672897337	2.74419593815477e-11	2.73700425224788e-09	-10.5615848828263
"BDP1"	0.478571197554444	8.3724180575496	184.257350476326	2.95670239344382e-11	2.92875548040989e-09	-10.5291923871376
"ABCC2"	1.30536555552675	5.53247834484657	597.892473412426	3.59341317382552e-11	3.46452942132432e-09	-10.4444928443606
"APLN"	0.610810270990227	9.82766639929525	176.988150521887	4.1918183674293e-11	4.01470710130878e-09	-10.3775975437085
"DDX21"	0.512821663496638	8.77402559210339	175.08211397343	4.60349083412098e-11	4.37997923967485e-09	-10.336912717223
"CD44"	1.28942948384413	5.53726466158326	482.25599237304	5.45730083715286e-11	5.15839769326174e-09	-10.2630221047995
"GJA1"	1.53613056441221	5.10307753747419	570.082307205186	6.02561164174112e-11	5.65859711447144e-09	-10.219998862587
"MYBPC1"	2.53339460967417	4.04086676783466	812.459082113371	6.64161761857961e-11	6.1922191673871e-09	-10.1777261318875
"UGT2B15"	0.699651427928964	7.14907577199732	176.980581844572	6.67947856529103e-11	6.1922191673871e-09	-10.1752574394789
"GAS5"	0.537549927473222	8.40755699529067	166.54930718217	7.08414331395252e-11	6.5255337965848e-09	-10.1497126615095
"PRKAA1"	0.46493590676063	8.2805060359747	170.102897234335	8.17731560222301e-11	7.43775712197165e-09	-10.0873892403965
"NEURL1"	2.33038253589649	4.17947670959439	642.723215425486	8.76958419688546e-11	7.87737432641972e-09	-10.0570209978859
"TMPRSS2"	2.28367610028869	4.2131758593989	646.571935102057	9.57970648355731e-11	8.55195772624727e-09	-10.0186477972392
"RNF43"	1.10897667787386	5.87291170457112	409.479183876518	1.17482640951508e-10	1.0359963130736e-08	-9.93002629931492
"TLE3"	0.820339965315095	6.67345180565918	337.048232195854	1.21031277678938e-10	1.06082081078352e-08	-9.91710238201395
"MRPS35"	0.4797677823608	8.15791370332321	168.83715708463	1.35352711886068e-10	1.1651612614859e-08	-9.86853303841319
"SOX4"	0.78975302339747	6.76648601019463	300.607905315908	1.41430362132031e-10	1.20315641009026e-08	-9.84945734661473
"CROT"	0.870801785002322	6.49904761633571	366.288405622736	1.46217904892721e-10	1.2366101406775e-08	-9.8349994432469
"GNL3"	0.634720679792021	7.36511046194393	214.421158892792	1.50493305420174e-10	1.2653687110387e-08	-9.822482818899
"COMT"	0.542504634672769	7.80332223728929	185.788855711267	1.5235168541598e-10	1.27358963843115e-08	-9.81715273695945
"GTF3C6"	0.723991894229918	6.99887832170777	245.33649331005	1.5475694057532e-10	1.28626142218407e-08	-9.81034986453098
"GNPNAT1"	0.811590801047736	6.68139546381739	338.843819699867	1.65919300726228e-10	1.37115710120155e-08	-9.78010309130328
"ARHGEF37"	0.884773647377401	6.4409863681161	394.861889798256	1.83152716330393e-10	1.49916332825392e-08	-9.7371866359481
"FAM234B"	0.895340344742662	6.40893240125755	405.3038035453	1.8348216643683e-10	1.49916332825392e-08	-9.73640614064597
"SLC7A2"	0.91468234158338	6.33521861489251	398.011234954989	2.33380194240032e-10	1.89614852196592e-08	-9.6319360030346
"TRIM3"	0.929275434656087	6.29206311349723	394.272738704172	2.36177670866473e-10	1.90815724920164e-08	-9.62676116463054
"NOLC1"	0.534369289666053	7.8077822732221	221.606555549853	2.64974583054018e-10	2.12892356673733e-08	-9.57679578254918
"VIL1"	0.997082870537523	6.09313889966232	377.220759962332	2.79832781107393e-10	2.20277921315144e-08	-9.55310141128758
"SPINK1"	0.537155936174286	8.0325478446809	141.765672758674	2.80259559687363e-10	2.20277921315144e-08	-9.55243956464321
"C1QBP"	0.517217095104929	8.32475958120816	140.096723972745	3.09780551469617e-10	2.39574670339764e-08	-9.50894585143982
"FAR2"	0.688939072243744	7.07321600644035	286.732531574185	3.81992610947366e-10	2.92295086747133e-08	-9.41794503775798
"TFRC"	0.528985069317703	9.92531660301728	132.734860585395	4.88152914453173e-10	3.67691012959468e-08	-9.31144411344679
"HGF"	1.24719250787317	5.47084268625439	504.805694488837	5.27231715156428e-10	3.9506865619649e-08	-9.27799847302871
"SNORD17"	1.26605968480743	6.63564650012311	131.322389260746	5.34011493456045e-10	3.97037344292715e-08	-9.27244939561035
"IQSEC2"	0.605468290007958	7.40758112680446	141.783048456966	5.37093214345949e-10	3.97037344292715e-08	-9.26995033448119
"ALCAM"	0.373511390821651	8.77139850847419	130.627212009652	5.58313819784054e-10	4.08588506239996e-08	-9.25312162204806
"NARS1"	0.388168970265236	8.65951461029601	130.592087512286	5.59573747093145e-10	4.08588506239996e-08	-9.25214266901944
"FAM110B"	1.33528546257527	5.26892533937028	547.787124080596	8.27811303678377e-10	5.89744190827423e-08	-9.0820686476482
"GALNT10"	0.621710325819254	7.2994329594462	248.624519058615	8.61118344064656e-10	6.10465367248189e-08	-9.06493715906623
"RPF2"	0.727673321532859	6.86003001692138	272.718952820986	9.06753772288857e-10	6.39681612431291e-08	-9.04251062898621
"SNORA73B"	0.510869095447334	7.84223395734496	142.446862105538	9.46274190534534e-10	6.64321230267497e-08	-9.02398300505449
"FAM162A"	0.814490562092348	6.53929688198727	255.194849947985	1.07732491088261e-09	7.49051579864629e-08	-8.96765329788769
"PTCH1"	1.30179388686702	5.30677186678848	305.420381212562	1.17563565075657e-09	8.09621084821023e-08	-8.92972725256532
"CLMN"	0.853392050353171	6.40272308331685	235.44368176892	1.23752655499445e-09	8.48204219826055e-08	-8.9074454731509
"LPAR3"	0.954110559011223	6.08173955162256	380.465402287753	1.66559846755375e-09	1.13088662149119e-07	-8.77842968740922
"XPOT"	0.390013341220757	8.81189030865107	114.299352302282	1.69395412715806e-09	1.14476470032523e-07	-8.77109835468528
"PRR15L"	1.36076394162821	5.16821774854422	519.452721587376	1.755835384424e-09	1.18106471300185e-07	-8.75551620311527
"AZGP1"	1.09415159177461	5.71320024555606	400.50235384531	1.8841359706753e-09	1.25568545658554e-07	-8.72488775908922
"ARL1"	0.448710026077844	8.14356957148438	172.813003392738	2.2230470004226e-09	1.47475714312438e-07	-8.65305135520096
"SMOC1"	1.10585499787925	5.66622194446754	444.797592251769	2.44068900533224e-09	1.59716037986945e-07	-8.61248755522955
"LDHA"	0.438887663086911	8.75608132515572	108.381946555382	2.62086443439886e-09	1.7073397049674e-07	-8.58155544258456
"WDR43"	0.564298653897516	7.48370166788921	198.68112095512	2.67195668786835e-09	1.73281783049112e-07	-8.57317058600646
"ODC1"	0.454930877155235	8.31238920685452	107.644171781186	2.77138553226021e-09	1.7892757842655e-07	-8.55730305455461
"ABRACL"	0.533806789252177	7.6309267586089	203.151095575099	2.97860976697394e-09	1.91451797555454e-07	-8.5259863907598
"GCLC"	0.599493912940941	7.29641852595582	206.758208798714	3.36467432821118e-09	2.14360881650177e-07	-8.47305696540896
"IL1R1"	1.61111235777556	4.7122003795294	580.075442782498	3.65752490417887e-09	2.2997880506189e-07	-8.43681270807056
"PAICS"	0.420502306946785	8.28577142506515	159.30775018703	3.77774804048693e-09	2.3583008819171e-07	-8.42276701101852
"SPCS3"	0.370534430909916	9.00218291789058	102.497246264519	4.13011575212949e-09	2.56350789730887e-07	-8.38403777647758
"STARD3NL"	0.578934290195012	7.37116528848735	171.611231145224	4.46666037444568e-09	2.76054881774502e-07	-8.35001706814861
"LAD1"	0.995369976601232	5.87564761393144	386.310125609689	5.6222452585778e-09	3.44529283599798e-07	-8.2500902131356
"RPL9"	0.383370684448965	9.00973803610367	97.272581311336	6.30367164347902e-09	3.84656959105458e-07	-8.20040641720936
"ALDH3A2"	0.679307092470226	11.3079704834866	95.4660406915058	7.32880123820599e-09	4.45332451709811e-07	-8.13496705649231
"SLC39A8"	0.583689154258753	7.29652365291881	156.712005930479	8.3978017460062e-09	5.08154848747873e-07	-8.07583438233345
"CFAP69"	1.44284007378655	4.90470700661142	443.940454958433	8.67615532146807e-09	5.22810659412797e-07	-8.06167268180161
"TPPP3"	1.93112707495018	4.24213031232334	497.369958436225	9.35086088901743e-09	5.56510906078066e-07	-8.02914840387201
"TTC39A"	0.881658466422048	6.14493041688832	306.446821961386	1.07428714473962e-08	6.34136354580588e-07	-7.96887962114273
"PPP1R1B"	2.13524243852168	4.02417099887288	626.93632422714	1.1140655908224e-08	6.54943763189983e-07	-7.95308923923979
"RNU2-61P"	1.17128399650496	5.96323274321481	89.5659059860715	1.21974125454298e-08	7.14165911870467e-07	-7.91373228706472
"SINHCAF"	0.581625751368609	7.27411774484287	195.17684968897	1.23236284908329e-08	7.18646432396877e-07	-7.90926140243666
"FKBP4"	0.345867478071246	8.86783383888788	89.1473232064688	1.26596567026779e-08	7.35276928651115e-07	-7.89757807110809
"GATA2"	1.011647775367	5.76416668539049	261.893723874595	1.30628328929563e-08	7.55658757191735e-07	-7.88396262885248
"SPATA13"	0.878299999194498	6.13725460832526	348.397319810881	1.33035418523096e-08	7.66517220191641e-07	-7.8760327197747
"ACSM3"	1.43450146764535	4.87717011364423	432.276380480968	1.45268385424274e-08	8.27114720474747e-07	-7.8378288903799
"PHLDB2"	0.994040746382445	5.79809964017822	351.883167510248	1.50884208165402e-08	8.52377897846895e-07	-7.82135621195081
"IARS1"	0.373988175624274	9.21580141797098	87.0759553867262	1.52511812112089e-08	8.58220166056433e-07	-7.81669651870122
"MYNN"	0.596459651526739	7.17425228044019	172.046010636518	1.73751501411725e-08	9.66459312852448e-07	-7.76007143392053
"SEC11A"	0.365553086515919	8.5508925925088	109.882481166531	1.8370561371495e-08	1.01791210174161e-06	-7.7358775722289
"CADPS2"	0.761479689261888	6.49236301878324	257.355133004785	1.90670781413868e-08	1.05247360336159e-06	-7.71971585358719
"CPNE7"	0.824570203836624	6.27418805196693	288.034168516805	1.95410934399991e-08	1.07453723699341e-06	-7.70905113858697
"KRT7"	2.4116670196852	3.74980493772694	545.241985508782	2.0033633178496e-08	1.09744849631594e-06	-7.69824028254429
"DNAJC22"	0.785461852085498	6.39606270749175	235.498350262047	2.18646159491753e-08	1.18874464607884e-06	-7.66025814661177
"SCNN1A"	1.12969784783576	5.42715736812633	319.933231584272	2.39704470294395e-08	1.28870113360504e-06	-7.62032386665018
"ERBB3"	0.496926658565689	7.6552492176557	165.680329692799	2.46019038932061e-08	1.31416992708829e-06	-7.60903128239587
"XBP1"	0.480884315077586	7.74722733274341	165.34855465176	2.47032057965396e-08	1.31416992708829e-06	-7.60724668360653
"GRIN3A"	1.64149217073347	4.51975712635646	429.995213961766	2.47167902204409e-08	1.31416992708829e-06	-7.60700792840766
"DNAJC10"	0.385444380288276	8.36462698248355	114.93598069611	2.73435095161879e-08	1.44321837453689e-06	-7.56314574486337
"ZBTB10"	0.521793716961386	10.7638143466291	79.4917598201318	3.11692240441446e-08	1.62732605821812e-06	-7.50627400932216
"NIBAN2"	0.58556786241274	7.16945552441625	187.711652097012	3.27197913259666e-08	1.70213533149687e-06	-7.48518947475225
"S100A10"	0.724887219178438	6.57832088943305	237.426571948062	3.31181742599e-08	1.71668471737159e-06	-7.47993361303167
"SLC7A11"	0.700285222400581	6.66667437479979	205.616144049722	3.55292972094893e-08	1.83508820087012e-06	-7.4494133830274
"LNX1"	0.511707526140152	7.53407546418287	165.233656332063	3.77206565827405e-08	1.94133856049677e-06	-7.42342075634353
"SLC38A1"	0.35550407372187	8.55381061991111	113.827163690496	4.28063129056757e-08	2.17621336903782e-06	-7.36849217823157
"SCARNA10"	0.91164869099566	8.76956069740041	76.2852606256975	4.28862405044792e-08	2.17621336903782e-06	-7.3676820232345
"DANCR"	0.717052655288793	6.58266876987478	162.245375302029	4.37640686851306e-08	2.21299287176349e-06	-7.35888230903842
"CITED2"	0.526818807865898	7.43676754726798	201.413279605077	4.47374514680873e-08	2.25433109105045e-06	-7.34932875973138
"RNU4-2"	0.748276680806225	7.21194600758609	75.6268154716434	4.5852357663804e-08	2.30021372055416e-06	-7.3386383286078
"NDRG1"	1.24784408251926	5.11968357977545	327.490753939407	4.5966101869738e-08	2.30021372055416e-06	-7.33756232479537
"PERP"	0.444074550114198	7.90370684790892	141.373700193775	5.22109799193638e-08	2.60370755722013e-06	-7.28223815567688
